Column,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Age_Band_of_Driver,Sex_of_Driver,Driver_age_sex,Vehicle_Type
6693,2016133CF0887,Slight,2016-12-15,Thursday,Daylight,1,0,5,West Yorkshire,Wet or damp,Single carriageway,None,30,15:10:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
6694,2016133CG0429,Serious,2016-12-16,Friday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,10:16:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6695,2016133CG0728,Slight,2016-12-16,Friday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,13:00:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6696,2016133CG0866,Serious,2016-12-16,Friday,Daylight,2,0,0,West Yorkshire,Wet or damp,Single carriageway,None,30,15:00:00,Urban,Fine no high winds,Over 75,Female,Over 75_Female,9
6697,2016133CG1091,Slight,2016-12-16,Friday,Darkness - lights lit,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,16:05:00,Urban,Fine no high winds,56 - 65,Female,56 - 65_Female,9
6698,2016133CG1308,Slight,2016-12-16,Friday,Darkness - lights lit,1,0,4,West Yorkshire,Dry,Dual carriageway,None,30,18:05:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6699,2016133CG1838,Slight,2016-12-16,Friday,Darkness - lights lit,1,0,8,West Yorkshire,Dry,Single carriageway,None,30,22:38:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6700,2016133CH0608,Serious,2016-12-17,Saturday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,20,10:25:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6701,2016133CH0827,Slight,2016-12-17,Saturday,Daylight,1,0,4,West Yorkshire,Dry,Single carriageway,None,30,11:15:00,Urban,Fine no high winds,Over 75,Male,Over 75_Male,9
6703,2016133CJ0058,Serious,2016-12-19,Monday,Darkness - lights lit,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,00:55:00,Urban,Fine no high winds,16 - 20,Male,16 - 20_Male,9
6704,2016133CJ1275,Slight,2016-12-19,Monday,Darkness - lights lit,1,0,0,West Yorkshire,Wet or damp,Dual carriageway,None,30,18:15:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6706,2016133CL0432,Slight,2016-12-21,Wednesday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,10:25:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
6707,2016133CL1256,Serious,2016-12-21,Wednesday,Darkness - lights lit,1,0,1,West Yorkshire,Dry,Single carriageway,None,30,18:28:00,Urban,Fine no high winds,26 - 35,Female,26 - 35_Female,9
